_state,id,item,description,item_type,price,total_sales,best_customers
<django.db.models.base.ModelState object at 0x0000017FFEFAFBE0>,1,Live stream,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFB38>,2,Location Shoots,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFCC0>,3,Sizzle Reel Production,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFC18>,4,Additional Video,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFDA0>,5,AV Support,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFCF8>,6,Award Vignettes,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFE80>,7,Bandwidth Access,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFDD8>,8,Camera Operator,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFF60>,9,Custom Graphics,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFEB8>,10,Digital Video,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFF28>,11,Editorial Premium,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFAFEF0>,12,Event Pro Limited,,,,,
<django.db.models.base.ModelState object at 0x0000017FCC45F5C0>,13,Live stream on-site support,,,,,
<django.db.models.base.ModelState object at 0x0000017FCC45F390>,14,Live Stream setup,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB3048>,15,Remote Editing,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB30B8>,16,TECHNOLOGY CONSULTATION,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB3128>,17,Travel,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB3198>,18,Video Editing,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB3208>,19,Live Event Producer,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB3278>,20,Booth Exchange,,,,,
<django.db.models.base.ModelState object at 0x0000017FFEFB32E8>,21,Discount,,,,,
